"V1","V2"
25,14
781,440
20,7
17,13
48,37
17,13
39,8
39,17
39,15
69,29
74,21
76,64
60,14
46,31
10,4
10,3
1126,544
1153,572
1050,519
746,369
758,346
767,411
206,82
19,11
72,36
82,44
122,54
72,31
26,14
10,7
10,7
23,13
25,13
20,15
20,15
18,13
14,3
178,88
230,101
1229,568
23,6
69,28
153,80
210,113
663,339
865,443
490,258
96,50
14,9
15,9
43,35
47,8
49,41
49,41
88,14
35,17
16,9
29,14
29,15
28,14
28,14
28,14
28,14
28,14
28,14
26,12
18,8
1058,566
12,2
10,8
875,137
1025,846
1391,291
1778,1252
1923,655
1733,1034
1520,911
1288,783
998,703
952,674
921,279
863,583
812,280
15,5
27,20
11,9
18,4
262,142
25,14
14,3
14,4
18,15
18,3
11,3
14,6
334,60
95,62
55,29
25,12
26,18
28,20
49,27
961,484
94,42
369,190
17,13
45,29
17,3
245,130
71,39
17,10
13,2
12,10
64,36
43,23
903,428
893,427
615,330
50,22
136,62
14,8
14,8
14,6
14,6
14,8
10,2
10,8
116,52
127,73
417,239
25,14
178,87
81,57
92,48
12,4
25,18
40,16
15,8
10,6
27,17
297,156
151,76
12,5
14,10
14,4
53,40
58,24
283,57
293,228
105,39
11,9
15,9
20,6
22,16
38,32
38,6
38,6
34,6
36,6
69,33
10,8
12,10
83,58
40,15
827,413
11,2
715,346
816,408
613,265
690,366
42,25
19,10
12,2
13,11
14,11
13,9
61,27
60,33
21,14
85,71
61,37
65,45
83,32
11,4
11,7
11,4
28,20
14,6
22,14
18,12
10,8
13,6
14,6
10,8
16,5
24,18
26,19
694,355
729,340
20,10
26,14
15,6
10,6
10,4
10,4
10,5
21,11
10,8
16,4
16,4
14,10
12,8
18,4
27,16
16,9
38,18
49,23
67,33
203,105
802,398
1267,604
1178,569
1059,493
934,532
136,62
11,2
10,8
10,2
24,20
38,6
175,86
19,13
114,45
383,210
12,6
11,9
46,32
45,13
45,13
46,13
42,32
41,10
19,15
16,3
655,414
668,311
195,84
13,9
10,6
213,135
187,121
14,4
16,6
16,6
16,10
19,11
21,9
20,4
24,15
30,19
39,28
19,13
10,4
11,2
17,6
23,10
22,13
10,8
50,13
10,6
12,10
11,5
13,7
16,9
41,22
74,38
81,41
94,43
107,52
338,272
690,392
720,401
1413,391
605,336
510,226
24,12
23,12
20,4
20,16
26,22
26,22
26,4
17,7
109,61
106,44
12,10
13,7
206,89
15,8
57,45
54,32
14,8
12,6
29,22
23,10
115,52
27,14
29,15
255,102
55,27
26,15
487,269
163,83
105,44
13,11
58,35
33,22
11,2
74,37
12,6
532,252
105,58
19,6
325,149
12,9
52,24
14,10
435,228
39,10
12,4
37,6
42,27
24,12
17,11
58,33
200,122
200,120
281,102
440,251
325,196
83,26
56,35
37,25
36,12
18,6
10,8
27,14
27,13
230,139
234,97
11,9
159,86
33,18
22,7
28,12
21,12
26,22
598,322
534,313
428,192
234,110
122,73
12,7
1066,536
10,4
56,27
58,29
38,16
17,7
17,5
33,27
267,115
26,12
14,3
346,137
190,161
10,6
13,6
10,4
10,8
67,55
10,2
23,4
787,127
789,160
807,656
661,102
40,6
29,6
11,3
444,204
452,256
21,5
21,16
20,16
20,4
20,4
20,16
19,4
17,13
17,13
26,8
26,8
32,8
34,8
32,26
32,26
28,6
23,8
14,10
16,10
12,2
35,9
10,6
11,9
37,29
21,13
21,9
17,7
66,49
166,40
282,199
322,98
380,121
569,185
574,185
700,228
707,232
746,503
671,193
661,193
455,133
427,302
89,54
211,84
40,32
57,35
104,59
23,19
10,4
22,6
28,20
86,59
126,99
170,118
174,41
196,46
111,23
64,17
62,16
29,21
25,17
18,10
70,28
129,56
175,76
26,12
11,9
22,6
53,44
53,36
61,51
62,30
133,46
235,67
271,219
346,93
281,56
162,98
155,90
99,72
31,15
15,8
11,8
42,24
15,6
28,12
25,10
12,6
12,6
11,4
24,6
13,6
13,6
13,7
13,7
14,6
14,6
10,2
15,8
643,337
545,242
56,24
40,18
660,356
716,391
846,413
754,334
761,400
714,342
605,292
580,277
18,4
10,6
10,2
50,35
108,72
513,252
25,10
30,12
94,40
156,81
412,190
21,9
10,2
50,21
12,2
10,2
11,9
12,10
16,12
16,4
25,8
22,4
20,4
17,4
17,4
10,8
45,11
29,22
25,5
50,30
49,25
72,30
430,169
533,227
51,18
1137,552
134,74
172,102
77,35
523,271
646,337
239,122
470,254
554,284
39,17
50,16
50,34
33,21
33,12
24,11
60,11
69,12
78,48
64,36
36,11
29,5
66,32
13,3
17,3
23,17
25,17
29,24
44,10
44,34
48,28
78,24
126,41
140,41
140,77
222,59
246,70
408,290
418,333
408,115
382,309
273,204
271,202
80,50
79,59
35,16
34,28
23,17
20,11
19,10
19,14
14,5
14,5
14,9
13,8
11,8
19,11
28,14
32,14
32,18
26,16
20,16
16,12
39,20
38,8
11,9
32,19
26,18
26,8
12,7
10,2
10,2
10,2
12,3
102,83
18,3
470,223
27,20
84,50
35,17
1654,1297
677,531
28,8
30,22
24,11
16,3
33,10
33,23
50,26
56,35
53,12
34,10
135,83
13,9
13,11
11,2
11,4
11,5
17,4
19,5
20,17
20,4
20,16
21,17
23,19
30,5
30,5
28,20
25,8
20,4
384,193
29,5
11,3
68,29
147,34
148,114
159,125
160,126
160,34
167,34
774,654
2061,1708
1935,1546
1168,924
1189,245
1181,931
1178,288
1190,252
1227,293
1248,1060
1252,355
1232,964
1198,434
859,609
842,519
484,264
842,575
851,670
848,667
880,290
908,700
940,431
1075,707
879,218
710,336
376,75
358,286
354,179
288,221
133,98
115,33
13,9
13,9
13,4
13,10
31,9
16,12
16,9
32,25
21,10
403,268
431,224
1463,669
58,26
111,54
269,152
248,97
33,16
33,21
29,18
17,10
30,7
37,23
37,9
37,28
38,14
15,5
15,10
22,14
17,8
10,2
527,224
406,243
348,160
348,156
443,258
185,94
305,159
30,17
30,17
47,29
80,35
157,80
264,130
262,134
17,14
18,4
18,14
18,14
47,32
17,8
28,14
135,69
12,10
80,53
12,2
12,2
13,9
10,6
11,2
12,9
68,34
392,167
45,21
35,17
134,32
138,38
143,38
154,34
157,34
154,34
158,40
157,40
37,25
73,26
114,55
114,59
114,55
110,59
106,47
16,12
41,31
28,6
47,37
47,10
35,21
181,114
188,68
298,125
427,246
1074,595
36,11
23,6
34,8
10,6
166,85
187,93
131,70
118,18
113,17
91,53
77,48
10,4
348,211
467,244
505,263
378,189
18,6
16,6
12,10
84,17
100,70
837,592
57,35
58,46
12,10
10,5
10,8
765,437
38,11
10,6
49,24
19,16
13,2
14,5
14,5
15,9
28,14
44,19
48,29
75,38
82,39
247,118
290,155
330,171
355,193
618,256
687,405
728,295
930,374
1436,866
1369,531
1344,543
1369,558
1324,797
1088,665
968,409
938,552
1009,369
940,622
766,188
717,140
691,561
654,241
610,510
397,336
52,27
50,28
43,19
15,6
728,423
774,329
647,308
621,252
609,348
567,288
341,165
32,18
20,14
24,13
52,19
75,49
24,20
20,17
10,3
11,2
16,6
49,26
36,17
10,4
25,15
23,13
22,12
22,12
15,11
125,74
794,430
799,449
10,7
286,165
17,7
14,4
28,14
113,64
73,33
12,10
142,87
25,4
18,4
14,4
22,5
28,12
47,37
46,23
41,11
37,30
37,7
22,16
12,2
139,66
18,6
14,10
16,7
16,7
99,37
100,60
16,7
11,5
14,4
39,22
254,148
682,299
680,298
693,325
1211,630
886,466
608,281
249,138
250,140
248,131
252,113
253,135
248,110
150,61
443,243
102,72
102,28
120,88
611,198
870,625
886,194
922,696
903,238
930,688
854,211
862,218
832,206
930,634
953,298
701,215
407,258
173,52
168,117
143,43
113,83
53,16
43,28
35,24
27,11
11,2
20,16
16,3
15,9
22,16
121,71
17,9
20,10
14,4
14,4
18,14
18,14
19,5
25,19
19,8
19,8
24,18
22,6
12,7
14,7
21,17
21,4
21,4
623,282
419,210
65,22
22,11
161,111
221,73
63,42
43,16
25,13
32,15
45,22
106,55
187,82
361,203
378,164
487,273
490,218
796,338
1034,414
1042,624
1155,756
1009,726
890,686
1038,355
1055,701
1387,574
1528,730
910,448
300,155
270,134
184,86
127,61
100,54
36,18
13,11
79,37
543,263
396,205
256,114
195,120
128,43
76,26
12,2
569,314
92,48
10,4
10,6
10,6
14,8
24,6
30,10
51,17
53,19
120,61
136,67
516,279
610,314
951,512
1068,570
1241,594
137,54
112,40
31,22
13,10
10,2
23,11
10,2
77,54
113,40
113,40
123,72
82,27
81,54
35,21
14,11
10,4
21,11
21,11
20,10
18,8
12,10
14,8
14,6
10,4
10,7
19,14
27,5
83,67
82,68
82,68
77,63
71,58
89,58
360,93
372,96
385,289
295,96
92,27
64,18
36,11
29,9
23,15
18,13
18,13
16,11
15,5
33,25
33,6
25,14
18,9
184,87
30,15
47,24
126,70
282,139
92,52
10,6
12,4
14,6
14,4
14,4
12,6
147,56
834,434
786,408
668,379
659,365
266,154
576,300
566,295
15,7
15,7
11,9
214,72
63,20
14,7
20,12
49,32
76,37
217,135
207,80
11,6
19,9
31,19
28,11
26,15
14,10
16,10
100,37
370,185
367,186
415,225
10,7
35,20
42,22
154,68
852,393
905,472
97,34
96,63
176,58
189,128
236,162
236,161
235,161
31,9
113,60
426,252
422,244
32,12
13,10
37,7
33,24
65,45
52,36
23,19
69,36
61,37
10,5
12,6
10,4
144,88
88,65
17,10
12,2
15,4
20,4
17,4
17,4
17,11
10,7
15,10
82,30
112,31
381,102
351,258
40,12
52,28
15,6
74,47
11,2
42,25
27,15
67,35
23,18
17,10
208,105
278,126
278,126
216,123
27,16
28,10
30,18
20,10
22,18
67,36
503,240
23,14
35,18
23,10
475,227
210,109
18,14
11,9
11,9
154,84
13,4
14,9
36,19
209,130
220,81
432,164
462,295
469,175
672,434
19,11
10,2
18,4
20,16
19,4
19,4
19,10
19,13
22,18
18,10
18,8
38,32
12,6
16,10
24,18
28,6
28,22
28,22
30,6
30,6
30,6
30,24
16,3
416,347
453,380
456,386
10,8
12,8
244,119
10,3
79,45
25,21
634,292
11,4
137,68
12,9
43,16
36,14
36,14
23,10
12,10
101,74
12,10
12,2
65,47
59,45
21,8
24,16
268,151
22,5
11,2
11,2
57,41
73,49
84,42
91,43
157,74
168,33
175,34
179,84
185,32
99,76
93,39
75,56
55,32
42,9
37,26
30,5
25,5
10,8
17,3
19,3
20,3
22,18
11,7
33,25
29,8
29,8
29,21
25,17
13,10
13,10
15,3
17,13
27,17
13,11
19,14
49,30
219,89
622,323
28,11
35,23
25,12
10,4
454,182
52,25
27,17
147,101
428,176
171,64
306,182
388,216
257,129
210,108
269,147
108,55
81,40
23,10
23,13
14,3
26,14
144,64
140,62
85,51
13,3
336,206
14,8
70,31
25,13
21,9
128,51
100,55
97,54
97,43
15,8
154,60
453,176
112,55
111,65
135,84
45,7
45,38
45,38
48,8
47,8
45,8
12,10
14,8
14,6
20,10
20,10
18,4
18,8
11,2
14,4
21,4
23,6
23,6
14,4
14,10
19,5
155,70
247,129
10,4
10,4
25,16
25,9
25,9
27,17
26,16
26,10
22,12
21,9
16,12
16,4
16,4
11,8
22,17
53,17
22,10
25,6
22,12
12,6
13,2
3179,2596
2208,973
296,148
309,167
94,46
12,6
25,5
25,20
17,12
53,28
55,30
56,43
15,6
87,35
608,274
715,429
718,424
631,364
59,26
51,21
12,7
22,4
33,28
161,90
35,17
44,7
14,4
24,14
15,11
25,19
62,50
72,40
11,8
15,6
158,79
14,6
16,5
207,109
912,458
877,442
17,3
51,24
11,7
14,4
10,6
107,43
106,52
14,3
72,15
67,52
58,18
28,16
28,5
19,7
10,7
300,136
50,28
16,11
153,64
201,100
12,4
18,12
328,203
113,52
10,2
115,73
143,94
175,68
303,154
335,174
312,178
12,8
45,23
51,23
20,12
10,2
11,5
11,7
14,8
12,6
294,116
13,9
27,19
616,343
784,384
19,8
56,27
11,8
14,8
14,6
14,8
12,8
20,9
22,11
42,25
62,30
95,53
86,52
32,12
15,7
10,3
11,7
48,26
10,2
10,2
10,2
61,40
62,40
78,28
35,12
16,11
22,10
221,125
56,39
51,37
13,7
17,13
16,12
15,4
32,17
91,36
586,252
531,280
662,340
15,11
69,32
175,91
25,13
202,101
680,305
172,76
398,162
977,508
51,8
12,6
10,4
282,150
22,6
12,2
35,7
12,2
10,8
12,10
12,2
12,10
12,10
10,2
12,10
35,17
41,21
21,11
49,15
1038,501
994,515
565,325
305,102
46,31
20,3
12,10
38,24
11,2
16,12
36,10
660,323
10,4
10,6
10,4
10,6
10,4
10,4
10,4
10,4
10,4
10,4
10,4
126,101
110,18
79,18
73,12
73,43
14,11
12,10
12,2
26,12
26,10
73,55
1014,590
137,62
13,2
22,6
24,15
23,8
54,22
58,28
65,34
77,36
65,21
52,36
21,11
11,7
29,8
357,138
26,6
79,49
49,22
27,16
19,12
11,3
10,2
54,29
69,33
16,6
12,2
12,10
12,2
64,37
10,4
10,4
10,6
1261,637
907,424
157,69
24,4
12,9
31,18
36,23
22,17
12,10
14,4
22,12
20,12
20,8
10,8
201,119
358,196
131,57
75,26
1127,531
1003,538
1274,674
29,15
20,4
20,16
20,16
20,4
26,16
26,16
28,17
22,11
14,3
14,11
14,3
12,4
56,39
95,31
96,65
126,50
62,45
16,10
13,5
10,6
646,356
24,15
32,21
53,29
88,31
205,48
226,176
261,49
265,216
274,224
276,50
279,229
278,230
279,48
29,20
27,19
18,15
14,5
71,42
79,30
153,83
309,169
1160,581
1114,547
218,119
23,10
23,10
22,14
10,2
47,31
48,18
33,13
22,7
204,99
92,40
359,183
647,346
13,4
17,4
20,13
45,24
157,82
185,92
180,96
172,73
665,298
544,290
922,459
435,220
411,215
82,42
54,26
53,28
46,19
21,12
39,6
44,7
41,15
41,15
40,26
98,34
68,32
16,12
34,21
55,18
55,37
57,37
59,39
60,20
29,22
10,8
10,2
16,8
22,12
55,26
79,37
16,6
14,4
20,10
35,16
37,21
37,16
39,16
42,16
45,16
484,208
540,255
1155,650
754,362
13,8
16,8
13,7
10,8
34,12
12,2
19,5
96,40
760,420
758,410
345,157
39,22
39,6
12,5
38,32
13,9
22,7
36,6
170,92
245,116
234,109
23,14
99,48
21,10
34,18
10,2
10,8
640,316
626,306
594,342
10,4
10,2
11,8
64,45
179,125
232,148
575,185
481,180
617,248
649,370
533,309
512,214
154,58
46,21
10,2
293,181
1145,653
1258,531
679,401
592,264
552,264
545,361
414,283
404,130
398,124
336,93
307,77
85,18
294,221
268,74
259,187
257,64
202,149
198,53
45,25
66,28
12,2
14,5
12,3
374,101
12,5
16,12
46,14
48,14
44,34
42,34
23,19
13,4
299,146
317,177
12,6
10,8
13,11
10,8
12,10
11,9
13,6
13,2
11,2
41,21
40,21
39,19
10,8
26,8
26,4
13,11
13,3
14,10
14,10
14,4
14,10
57,37
47,21
23,11
13,4
14,6
10,6
13,6
14,8
14,8
161,89
74,40
34,6
14,8
109,56
152,78
200,86
207,168
757,377
747,580
745,577
526,409
475,92
385,233
381,229
380,153
346,152
29,17
11,3
14,3
105,65
198,76
47,24
45,21
10,2
33,12
37,29
14,8
14,6
17,11
17,6
17,6
15,11
12,10
15,9
25,13
259,141
782,484
632,389
271,230
254,86
380,165
975,491
941,451
37,15
13,7
103,48
233,107
450,232
808,397
20,8
17,9
13,5
13,5
143,111
104,88
427,212
119,55
10,4
34,13
78,47
43,18
480,157
618,401
656,427
820,291
829,534
251,96
179,72
175,104
102,62
83,56
64,41
48,30
32,21
23,12
18,7
12,8
79,42
11,8
18,7
22,7
31,25
91,66
126,96
131,99
168,41
273,186
614,178
622,178
628,450
633,181
795,322
925,392
846,486
831,491
844,508
846,511
860,354
827,407
811,421
535,301
329,231
354,104
352,105
378,123
318,97
1204,554
10,8
21,17
20,6
11,4
14,5
37,21
17,11
26,22
20,4
12,10
12,10
11,7
15,11
15,4
17,13
30,22
28,23
36,26
163,31
27,8
11,2
10,3
15,6
14,6
66,26
10,2
18,3
19,16
18,3
98,60
152,107
158,113
159,45
171,51
170,120
174,64
172,58
162,114
39,29
21,15
16,13
153,86
11,2
11,9
23,6
19,7
78,45
13,11
13,5
12,7
12,5
12,5
11,5
11,6
10,5
40,20
43,22
146,72
78,32
154,82
35,25
44,29
310,140
355,199
154,53
42,12
65,50
12,6
10,4
57,36
94,28
96,74
76,22
47,21
10,6
77,50
90,58
111,33
92,65
110,62
148,67
57,23
59,26
54,33
21,8
302,137
138,63
164,77
60,20
30,15
20,12
11,5
13,2
13,2
69,51
75,18
75,57
77,18
11,2
11,3
13,4
14,5
41,27
33,23
10,2
20,12
28,14
32,18
55,25
62,27
63,28
57,22
35,9
31,9
21,5
19,3
17,14
12,10
19,11
79,37
11,2
21,11
19,7
19,9
10,2
10,8
79,45
134,72
131,69
10,8
10,8
20,4
24,8
20,13
1502,702
1384,678
940,488
13,6
373,182
28,5
13,11
11,9
37,6
35,29
41,16
29,5
52,18
33,20
21,11
15,7
182,34
168,134
24,8
102,58
60,25
11,9
11,2
12,2
10,2
23,12
82,56
13,4
365,152
737,330
748,402
119,57
56,29
17,8
22,10
95,41
219,92
704,434
511,170
516,177
582,353
617,249
634,390
760,459
801,349
615,272
87,59
25,10
21,14
22,16
15,11
352,157
831,397
20,8
20,14
36,26
548,244
16,3
281,141
752,323
674,254
618,244
594,224
454,303
205,77
181,111
60,27
22,15
25,17
35,25
47,19
53,33
48,28
40,16
33,15
21,10
10,6
16,4
16,12
16,4
17,9
21,11
17,9
540,244
662,306
20,3
15,3
14,10
12,7
11,4
24,14
10,7
122,24
152,66
81,30
453,144
402,80
401,321
21,16
94,28
1138,724
11,2
20,4
20,4
10,5
22,16
350,146
75,37
58,27
42,21
47,12
47,12
10,2
31,18
34,21
193,92
11,9
80,41
141,68
195,88
15,5
20,7
70,25
161,75
297,105
158,81
20,10
14,8
11,2
11,5
11,6
11,5
21,9
21,10
21,11
22,12
19,10
16,7
11,4
67,33
564,293
1031,564
726,284
736,442
478,204
714,375
715,327
11,2
14,10
31,22
29,18
27,11
975,523
844,397
15,9
10,4
173,78
872,414
13,11
16,7
16,9
14,10
28,6
1474,1024
1496,1024
1235,1002
92,74
102,84
545,212
661,520
691,147
738,166
1124,681
286,232
296,242
319,54
319,265
319,54
351,54
40,34
270,53
590,111
667,123
666,544
285,241
14,5
65,34
39,12
15,12
10,8
61,29
63,34
29,17
12,4
18,9
58,36
197,124
192,77
195,121
186,123
181,60
186,125
207,104
187,100
161,77
30,17
26,13
41,8
45,33
45,33
46,34
40,10
32,12
13,5
332,173
198,88
147,86
60,43
38,22
71,33
230,114
485,243
10,6
10,6
10,4
10,4
54,37
55,39
51,34
21,13
24,14
22,8
75,51
14,8
66,44
71,38
24,9
747,199
581,170
555,389
547,166
485,200
195,35
131,111
20,15
16,4
27,21
35,21
34,21
39,26
39,26
37,23
37,24
37,13
37,24
37,14
32,19
32,19
22,15
20,13
12,6
112,66
411,154
1359,718
12,2
12,4
155,81
340,156
38,20
217,113
72,44
143,80
98,49
18,10
83,44
222,111
17,7
23,15
70,45
29,15
20,9
17,9
22,8
30,15
40,21
40,21
44,23
47,22
55,27
52,27
28,13
25,14
168,71
232,138
240,101
170,74
37,11
62,25
19,10
14,4
99,37
129,66
235,132
321,184
268,141
206,101
777,364
149,62
37,19
30,13
562,274
568,281
527,271
183,151
70,35
61,19
40,31
63,32
103,62
103,62
90,37
28,13
26,14
21,11
10,7
11,7
20,8
1227,221
1237,1016
1178,232
685,570
473,180
173,142
116,98
33,18
19,14
18,7
78,65
75,61
62,14
56,10
25,21
61,18
781,367
12,10
18,10
110,76
46,31
821,406
229,119
10,8
18,10
19,9
59,28
12,4
12,4
311,163
19,3
15,12
32,26
199,31
13,11
10,4
11,9
24,19
36,28
43,34
45,19
59,39
114,46
153,120
156,32
198,54
204,172
206,125
12,9
35,20
37,20
719,399
993,547
885,482
69,22
68,22
69,29
124,56
456,202
213,106
31,25
25,21
18,8
145,69
760,405
731,409
275,151
262,111
189,109
229,108
380,182
385,197
610,317
616,310
679,322
121,62
52,21
159,62
395,169
455,193
523,268
609,326
412,203
49,22
33,18
23,11
11,7
12,4
12,8
12,8
12,4
10,8
10,4
12,8
11,7
26,14
48,36
65,33
31,24
10,7
87,30
72,18
16,8
227,101
407,178
1090,608
1080,596
58,47
25,19
13,3
23,11
35,15
18,11
32,12
41,9
22,13
11,2
13,3
21,4
20,6
20,14
14,8
40,34
387,181
45,12
14,6
43,27
148,58
251,137
429,201
889,432
716,343
204,94
321,153
739,390
490,229
383,199
362,173
250,143
18,6
49,29
224,112
14,8
107,67
198,39
185,37
148,29
138,113
123,98
110,25
24,7
20,17
28,14
85,34
287,145
76,38
19,4
21,4
20,4
13,11
32,18
16,4
58,25
25,5
40,23
40,33
28,21
20,13
19,12
19,8
21,15
48,28
257,116
169,71
84,44
52,15
40,7
38,31
37,8
26,9
17,8
17,9
10,2
268,132
228,142
12,4
87,53
97,58
114,71
124,52
173,30
170,116
166,38
127,65
125,58
125,67
120,58
119,58
111,53
96,40
96,40
41,19
20,8
11,3
11,3
11,8
13,11
13,10
21,15
20,5
44,27
46,32
41,14
40,13
39,13
31,23
13,2
17,8
10,2
10,2
10,2
10,8
10,8
36,19
22,10
26,14
25,21
68,31
67,37
43,23
22,16
21,6
10,8
769,286
947,587
1817,702
1985,1583
1827,1014
1649,342
1631,723
1344,633
667,392
489,303
470,185
409,167
165,89
105,46
25,10
118,19
205,74
124,78
31,9
154,52
149,43
19,11
88,57
17,13
13,11
43,21
44,22
16,8
51,27
275,131
36,6
130,65
125,52
16,4
851,440
11,8
11,3
14,6
13,8
84,43
12,8
10,4
22,14
22,8
22,14
21,13
21,13
60,14
125,92
177,59
184,68
204,140
166,40
150,56
128,103
129,37
49,41
45,37
44,8
38,24
35,6
12,8
11,4
10,3
12,10
27,8
56,38
26,21
12,10
16,5
19,14
84,45
148,76
175,85
187,103
434,213
45,35
51,40
53,42
162,40
208,43
828,214
347,77
317,70
85,45
47,8
13,6
15,6
79,44
426,259
980,734
1253,654
1472,695
1589,443
2014,1509
2293,575
2269,980
1080,844
16,12
15,5
32,20
53,19
57,23
504,275
510,275
521,285
464,242
434,227
14,10
19,13
31,19
56,31
61,30
66,44
12,10
10,4
10,2
630,330
116,49
19,16
12,10
12,2
13,9
16,4
10,4
52,38
52,14
29,10
1449,1180
1449,1181
1467,670
901,674
415,173
18,4
38,19
120,71
87,35
27,12
44,8
38,30
38,9
22,17
59,40
268,172
213,95
21,11
10,2
11,2
33,28
43,12
53,42
151,65
694,319
